id,age,height,weight,inseam,armLength,shoulderLength,chestCirc,waistCirc,hipCirc,kneeCirc,calfCirc,armCirc,headCirc
6_2193,32,1577,53,731,533,376,890,746,894,358,339,277,567
6_2194,34,1607,64,711,555,361,923,787,988,360,381,319,607
6_2195,34,1694,52,767,559,375,826,682,886,340,320,249,562
6_2196,31,1687,57,735,550,385,867,677,916,352,354,281,559
6_2197,30,1497,51,640,480,367,887,741,920,352,347,268,593
6_2199,31,1627,61,700,503,400,931,795,949,370,347,324,567
6_2200,32,1592,47,700,512,335,811,660,875,337,322,249,583
6_2201,28,1634,46,726,542,346,808,595,871,328,322,240,577
6_2202,32,1682,52,766,557,372,867,695,898,318,334,275,577
6_2203,34,1499,51,654,494,359,861,766,914,326,327,273,594
6_2204,31,1567,55,670,519,388,925,721,952,338,325,289,560
6_2205,31,1662,66,746,532,376,930,732,1004,397,393,309,579
6_2206,36,1572,52,662,510,342,864,686,909,340,331,268,563
6_2207,33,1557,48,661,508,336,820,663,888,317,328,274,574
6_2208,33,1612,51,688,505,380,864,672,886,324,341,254,569
6_2209,33,1539,52,638,488,398,883,704,918,343,340,288,568
6_2211,32,1529,69,675,497,356,945,817,1026,426,409,323,608
6_2212,30,1622,49,737,538,350,823,672,878,330,333,249,576
6_2214,34,1514,72,620,485,390,1041,986,1036,399,402,325,596
6_2215,32,1532,53,679,501,366,933,717,877,327,340,277,575
6_2216,32,1584,51,717,539,385,847,722,871,329,342,262,579
6_2217,39,1574,72,683,532,397,1069,915,996,351,361,402,606
6_2218,36,1567,51,692,486,380,858,695,878,324,334,301,583
6_2219,31,1594,53,713,520,349,861,670,913,352,348,290,579
6_2220,29,1589,46,701,531,364,836,634,869,316,308,253,550
6_2221,32,1599,57,702,525,366,869,728,942,378,367,265,531
6_2222,34,1604,51,703,516,373,869,676,918,353,326,268,558
6_2223,31,1597,52,703,525,366,868,681,890,343,328,269,555
6_2224,32,1667,82,740,558,399,1086,923,1063,373,381,356,562
6_2225,29,1622,52,703,524,382,875,692,887,353,341,278,566
6_2226,33,1639,55,710,533,386,890,657,909,333,321,272,555
6_2227,34,1627,59,731,517,377,937,717,924,351,359,305,529
6_2228,32,1567,55,719,506,370,871,725,935,365,334,273,551
6_2229,34,1664,70,736,528,390,968,772,999,382,395,332,544
6_2230,39,1539,45,653,500,321,806,629,877,332,299,256,545
6_2231,32,1614,55,706,512,365,891,723,939,334,345,287,541
6_2232,30,1632,56,728,532,346,851,693,913,349,349,273,572
6_2233,31,1642,57,750,556,388,868,707,935,363,351,272,532
6_2234,33,1677,55,741,556,358,884,747,913,326,334,260,543
6_2235,30,1604,58,730,542,371,913,768,929,357,330,273,548
6_2236,31,1562,48,690,503,390,867,701,889,334,333,280,554
6_2237,39,1584,41,710,513,360,795,626,817,300,301,253,586
6_2238,33,1564,46,712,500,366,825,648,863,314,322,249,549
6_2239,29,1592,67,681,507,393,959,798,1053,364,363,322,564
6_2240,33,1639,62,740,551,381,905,746,977,345,337,312,564
6_2241,34,1704,72,759,571,411,979,805,1020,379,383,333,559
6_2242,34,1624,58,730,543,377,849,748,925,356,350,271,542
6_2243,39,1567,48,689,507,360,842,663,868,333,321,266,583
6_2244,39,1614,57,708,526,391,913,801,917,337,318,310,542
6_2245,37,1579,46,686,513,369,800,626,836,323,327,270,560
6_2246,30,1609,44,720,522,351,811,619,856,307,313,245,557
6_2247,27,1724,57,790,571,373,858,674,940,343,334,267,567
6_2248,30,1489,44,627,474,357,825,653,863,322,315,261,546
6_2250,35,1612,53,740,546,366,872,718,908,334,333,292,547
6_2251,34,1594,72,691,516,395,999,948,1022,377,372,354,565
6_2252,26,1687,57,750,550,382,865,672,944,355,337,286,562
6_2253,33,1569,45,692,514,354,783,613,858,326,319,249,563
6_2254,30,1687,52,758,555,383,836,693,875,327,310,257,561
6_2255,33,1639,67,730,535,393,934,758,1063,391,379,309,563
6_2256,30,1604,62,734,551,354,957,787,931,389,375,289,569
6_2257,30,1569,49,724,529,377,857,664,900,346,337,270,541
6_2258,39,1602,57,685,507,382,916,784,911,364,336,321,561
6_2259,38,1609,66,704,539,408,1017,854,988,372,380,323,546
6_2260,34,1567,57,685,517,381,933,729,939,344,357,305,560
6_2261,30,1662,51,760,563,378,881,660,920,344,321,252,573
