id,age,height,weight,bellyCirc,waistCirc,wristCirc,neckCirc,ArmLength,ThighCirc,shoulderWidth,Hips,armfitCirc,inseam,bodyLength,headCirc,hipLength,bodyvalue,type
3D-12-0120,50,155,58,88,83,17,33,51,56,39,94,39,67,52,55,15,268,50avgf
3D-12-0121,50,161,52,75,71,17,32,53,53,37,89,37,73,55,56,15,235,50qf
3D-12-0122,40,164,58,79,74,17,33,51,56,40,95,37,71,62,57,20,248,40avgf
3D-12-0123,40,162,59,83,76,16,32,51,59,37,94,41,70,57,54,17,259,40btf
3D-12-0134,50,159,63,87,82,18,35,52,61,38,101,43,68,59,56,20,275,50avgf
3D-12-0135,50,162,59,88,81,18,35,52,54,41,92,37,69,60,55,20,265,50qf
3D-12-0136,50,148,51,82,80,17,32,49,53,39,90,38,63,54,55,17,251,50avgf
3D-12-0137,50,163,61,87,82,18,35,52,55,40,98,40,70,59,59,19,270,50avgf
3D-12-0138,60,153,53,84,81,17,35,50,50,39,88,37,65,56,56,16,255,60avgf
3D-12-0139,60,160,60,83,81,18,37,52,54,41,90,38,71,59,55,16,262,60avgf
3D-12-0140,60,152,58,87,83,18,35,51,56,37,95,38,66,57,56,19,266,60tf
3D-12-0141,60,145,54,90,89,17,35,49,58,40,92,38,62,54,55,16,271,60avgf
3D-12-0142,60,147,44,78,76,16,36,49,47,38,84,38,63,52,57,15,236,60tf
3D-12-0143,60,152,56,90,87,16,40,51,50,36,87,40,64,55,54,17,273,60avgf
3D-12-0144,60,165,66,92,87,19,36,52,59,40,100,42,72,60,56,19,287,60bqf
3D-12-0145,40,162,57,82,77,16,34,53,55,39,92,36,72,56,57,17,252,40qf
3D-12-0146,50,157,58,89,84,17,35,52,54,38,95,40,67,59,55,19,271,50tf
3D-12-0147,50,159,57,86,82,17,35,53,56,38,97,41,68,57,53,17,266,50tf
3D-12-0148,50,163,60,87,86,17,38,54,51,41,89,40,74,57,54,16,273,50tf
3D-12-0149,40,157,46,71,68,16,33,51,51,38,89,35,67,57,57,18,220,40avgf
3D-12-0150,50,159,58,86,80,17,36,49,54,37,94,38,66,60,54,19,262,50avgf
3D-12-0151,60,155,65,94,91,18,39,53,57,40,97,40,66,58,55,18,290,60bqf
3D-12-0152,60,163,60,93,88,18,34,53,55,42,95,41,72,58,55,19,282,60bqf
3D-12-0153,60,161,70,98,96,19,36,54,61,39,99,42,72,55,57,16,306,60bqf
3D-12-0154,60,152,54,87,83,17,37,51,52,39,91,38,65,56,55,18,262,60avgf
3D-12-0155,60,156,61,92,89,18,36,52,61,37,97,40,69,56,57,18,282,60tf
3D-12-0156,60,150,51,80,77,17,34,49,51,38,87,37,66,52,53,14,245,60avgf
3D-12-0157,60,153,54,89,88,16,35,53,54,37,88,38,67,53,53,15,269,60avgf
3D-12-0158,60,154,68,98,94,19,39,51,60,39,99,42,66,55,53,18,302,60bqf
3D-12-0159,60,147,33,62,56,14,30,49,45,37,74,30,64,53,53,16,181,60avgf
3D-12-0160,60,143,54,91,89,16,41,46,54,34,90,40,61,52,57,14,274,60tf
3D-12-0161,60,147,51,87,85,17,35,49,53,37,89,39,63,54,52,16,262,60avgf
3D-12-0162,60,166,67,91,86,20,36,54,60,43,99,41,75,61,57,20,285,60bqf
3D-12-0163,60,159,71,103,98,19,39,55,62,41,100,41,69,58,56,18,313,60bqf
3D-12-0164,60,154,51,88,84,17,32,53,50,38,87,37,70,55,55,17,260,60avgf
3D-12-0165,50,152,66,95,93,19,36,51,58,38,100,42,65,55,55,15,296,50rtf
3D-12-0166,60,158,63,92,88,19,38,54,55,38,95,41,71,54,56,16,284,60bqf
3D-12-0167,50,139,55,98,95,17,35,46,55,36,92,40,57,52,55,15,288,50rtf
3D-12-0168,60,149,66,106,100,19,43,50,60,39,95,43,62,54,53,15,315,60bqf
3D-12-0169,60,149,60,90,89,18,35,51,58,41,96,40,63,54,55,18,279,60bqf
3D-12-0170,50,147,57,89,84,17,35,48,54,37,91,38,62,55,54,19,268,50avgf
3D-12-0171,60,160,74,103,97,19,41,52,62,39,98,41,70,58,56,17,315,60bqf
3D-12-0172,60,153,47,82,80,17,35,52,50,36,85,37,68,55,56,18,246,60tf
3D-12-0173,60,157,52,83,79,16,35,51,52,36,88,38,68,56,54,17,252,60avgf
3D-12-0174,60,146,67,98,91,18,40,49,59,36,97,42,60,56,55,18,298,60tf
3D-12-0175,60,150,59,96,89,18,37,51,54,36,92,41,63,54,55,19,285,60tf
3D-12-0176,60,149,52,87,86,16,35,50,57,39,91,38,65,55,53,18,263,60avgf
3D-12-0177,60,150,57,88,86,17,39,51,56,38,92,42,66,52,56,14,273,60bqf
3D-12-0178,60,161,56,86,83,18,37,53,52,44,88,39,71,59,56,18,264,60avgf
3D-12-0179,60,152,46,80,72,17,32,48,49,37,86,34,64,56,53,18,232,60avgf
3D-12-0180,60,154,64,96,94,18,36,53,56,42,97,44,67,56,56,17,298,60bqf
3D-12-0181,60,153,75,105,101,19,37,51,65,39,104,43,64,57,57,19,324,60bqf
3D-12-0182,60,151,60,93,89,18,35,52,57,41,94,39,64,56,54,18,281,60bqf
3D-12-0183,60,141,48,88,82,15,36,47,52,38,89,36,61,51,55,18,254,60tf
3D-12-0184,60,160,67,98,91,18,38,53,60,41,101,41,69,56,54,17,297,60bqf
3D-12-0185,60,150,60,91,87,17,33,50,58,39,96,40,62,56,54,18,278,60bqf
3D-12-0186,60,154,49,75,72,17,36,51,54,37,90,36,65,59,54,20,232,60avgf
3D-12-0187,50,156,53,80,76,18,41,52,52,38,91,37,68,56,54,18,246,50qf
