age,height,weight,bellyCirc,waistCirc,wristCirc,neckCirc,ArmLength,ThighCirc,shoulderWidth,Hips,armfitCirc,inseam,bodyLength,headCirc,hipLength,bodyvalue
31,171,76,89,86,17,38,59,65,42,101,45,74,66,59,21,220
34,172,68,82,81,18,36,58,54,42,94,43,77,62,59,19,206
31,175,67,82,78,20,36,61,54,45,94,43,79,64,59,20,203
34,176,87,95,91,21,42,60,65,41,106,50,76,66,61,20,236
34,178,82,95,94,21,39,61,59,46,101,47,80,64,58,17,236
32,174,76,90,87,18,37,59,64,42,98,45,75,64,57,20,222
33,173,74,88,87,20,39,59,56,43,96,46,75,64,59,19,221
32,174,54,70,69,17,34,56,49,39,89,40,75,60,56,15,179
32,157,55,76,75,17,33,53,54,40,88,42,68,60,56,18,193
32,170,84,81,81,18,35,56,56,38,93,44,76,60,57,18,206
31,182,68,90,86,18,36,60,60,45,107,49,80,66,58,20,225
31,179,63,77,76,17,34,61,50,43,89,41,80,66,57,22,194
32,169,69,87,84,16,36,59,58,43,97,44,76,60,57,20,215
31,181,97,96,97,19,41,63,65,51,107,50,79,68,59,21,243
31,181,76,89,88,17,38,62,57,45,96,45,81,64,60,20,222
33,174,82,99,95,18,40,61,62,44,103,47,76,64,61,19,241
31,177,91,98,98,19,42,60,69,44,107,50,77,64,59,17,246
30,158,65,86,85,16,37,54,57,40,93,42,67,56,57,16,213
31,173,71,78,77,20,36,56,54,43,95,47,73,65,58,18,202
32,176,69,84,81,16,37,60,54,43,95,43,78,63,58,20,208
32,176,68,80,76,18,38,60,57,43,96,44,80,62,60,20,200
31,175,62,77,73,19,34,59,50,39,87,42,75,64,58,21,192
34,165,59,80,76,17,34,57,51,45,90,39,72,64,56,21,195
30,175,55,75,72,16,37,58,48,42,89,39,81,61,58,18,186
30,169,61,76,72,18,35,58,53,44,90,43,79,59,58,18,191
31,177,75,90,85,17,38,61,64,40,96,45,79,64,59,20,220
33,176,75,89,97,20,36,60,63,45,97,46,76,64,61,19,232
33,181,80,84,81,18,38,62,57,49,100,47,82,65,59,18,212
31,164,65,85,83,17,35,56,59,40,94,44,73,58,57,16,212
31,171,62,79,76,17,36,57,62,43,92,41,79,59,60,17,196
26,165,62,78,77,17,37,55,56,43,91,42,73,60,58,18,197
33,172,84,96,96,18,39,56,70,45,105,47,74,64,58,18,239
30,172,84,99,98,19,36,62,69,41,103,46,75,62,58,18,243
30,172,66,83,81,18,35,61,59,40,92,43,80,58,57,16,207
30,160,62,81,77,17,36,55,60,40,91,43,70,62,58,22,201
32,180,107,103,119,20,42,63,68,45,110,54,78,65,60,18,276
32,172,59,75,74,17,36,59,61,39,90,42,76,62,59,17,191
25,174,56,77,74,16,34,60,50,38,85,40,81,60,55,17,191
38,167,68,87,86,18,39,57,63,42,91,46,73,62,62,18,219
30,175,64,73,73,17,37,60,51,45,91,41,79,62,60,18,187
33,164,63,78,77,18,37,55,59,41,92,43,73,59,58,17,198
31,167,72,87,84,18,35,58,64,40,99,46,74,61,59,19,217
35,173,83,99,96,19,40,59,66,41,100,48,76,64,60,19,243
32,170,77,95,94,18,41,58,59,43,99,50,75,62,59,19,239
34,175,78,83,81,19,36,60,59,43,98,46,77,65,60,21,210
34,176,63,80,77,17,35,59,52,43,94,44,79,64,58,19,201
32,160,54,74,72,17,35,55,48,40,85,40,72,59,57,19,186
35,173,77,93,92,18,39,61,68,44,101,47,78,63,59,20,232
36,154,57,81,79,16,36,53,64,37,88,42,68,53,57,15,202
35,172,86,100,99,19,42,59,73,47,104,48,75,65,58,17,247
31,170,71,84,82,20,36,55,62,43,101,44,75,64,60,20,210
28,171,61,79,76,18,35,58,56,43,89,41,78,60,60,19,196
32,168,74,93,90,18,39,58,67,44,96,47,76,59,59,18,230
32,174,76,84,81,18,38,61,64,47,98,47,75,64,62,20,212
34,171,64,81,80,17,35,58,64,42,91,42,79,61,56,19,203
30,170,68,81,80,17,36,58,59,44,96,43,77,61,59,18,204
33,174,61,81,78,17,39,56,51,45,93,41,77,66,59,20,200
35,175,86,101,97,20,37,60,71,44,101,49,79,62,58,18,247
30,164,62,85,82,16,33,56,57,40,94,41,71,60,56,16,208
31,172,63,77,74,18,36,59,55,50,92,41,79,62,57,17,192
31,176,99,104,104,19,40,62,69,44,110,51,78,64,62,19,259
31,170,56,75,70,17,32,57,57,44,88,40,75,62,57,18,185
30,170,74,88,88,19,37,62,62,44,97,47,76,62,59,17,223
31,181,84,93,93,19,39,64,61,48,102,44,83,65,62,19,230
30,168,85,105,104,18,41,60,63,43,107,48,74,63,59,19,257
34,175,94,100,100,20,38,62,73,47,106,50,80,61,61,20,250
31,170,74,91,90,18,37,58,62,41,99,48,73,61,57,17,229
31,170,73,88,86,18,38,61,69,45,96,46,77,60,58,18,220
32,175,67,77,75,18,37,58,60,46,93,45,79,64,58,22,197
34,159,75,97,97,18,40,55,67,47,96,46,68,57,59,16,240
33,166,75,91,91,18,41,57,66,45,96,49,74,61,58,16,231
32,164,64,82,81,17,36,59,60,43,93,45,73,60,56,19,208
31,184,71,84,76,18,36,61,56,41,95,45,81,67,56,22,205
33,180,59,76,70,18,34,59,59,45,91,40,83,63,58,17,186
32,163,65,84,82,17,36,55,63,39,91,43,70,61,59,19,209
33,168,70,87,86,17,36,56,59,48,98,45,72,61,61,18,218
29,171,71,85,82,18,39,61,64,48,97,45,79,59,58,18,212
26,179,81,88,84,18,37,63,66,45,100,47,84,63,59,18,219
32,168,79,95,95,19,37,58,68,45,101,44,74,62,55,17,234
29,173,70,87,84,17,37,61,63,45,98,42,78,65,58,18,213
30,167,61,82,79,18,35,55,62,43,94,43,69,65,58,20,204
39,169,84,93,94,19,37,56,72,47,104,46,76,61,58,19,233
35,169,57,74,71,16,34,57,58,42,87,41,76,61,58,20,186
36,169,70,84,79,20,40,53,69,44,93,44,72,63,59,21,207
33,171,63,79,73,17,34,55,53,43,92,41,74,64,56,20,193
39,168,79,94,92,18,38,56,66,49,102,46,74,63,60,22,232
37,166,53,79,72,16,34,54,51,48,86,38,75,60,57,18,189
36,178,90,97,99,19,41,58,70,49,103,49,80,65,59,20,245
