,age,height,weight,bellyCirc,waistCirc,wristCirc,neckCirc,ArmLength,ThighCirc,shoulderWidth,Hips,armfitCirc,inseam,bodyLength,headCirc,hipLength,shoulderDegree,bodyvalue,type
75,23,181,62,73,71,17,34,58,52,45,88,42,76,69,60,21,26,248,20srtm
76,22,172,70,84,81,17,36,58,59,42,99,42,75,63,58,20,25,277,20btm
77,23,174,76,89,85,17,35,60,60,45,100,46,79,62,59,19,25,296,20avgm
78,24,168,57,76,75,16,35,55,50,44,90,41,72,63,60,21,26,249,20avgm
79,20,171,58,75,73,16,35,58,52,43,87,41,78,60,59,20,21,247,20avgm
80,25,182,71,79,76,18,36,62,57,44,93,46,85,63,58,20,26,272,20btm
81,27,179,102,105,102,19,44,64,72,52,112,53,81,62,60,18,24,362,20avgm
82,25,170,67,85,80,17,37,55,56,45,92,42,76,61,59,19,31,274,20avgm
83,25,175,61,75,73,16,35,56,51,40,93,43,80,61,58,18,24,252,20avgm
84,26,180,78,89,87,17,39,61,60,48,101,46,84,62,60,18,25,300,20avgm
85,25,170,59,76,74,16,36,55,53,44,94,43,77,60,56,18,28,252,20avgm
86,26,180,89,97,92,18,40,62,63,47,102,49,81,63,62,20,23,327,20avgm
87,26,173,73,82,80,17,37,57,59,47,98,43,80,61,61,20,25,278,20avgm
88,29,181,65,76,72,17,36,60,54,47,93,43,81,65,60,21,24,256,20srtm
89,28,169,66,80,80,17,35,54,57,47,92,43,77,61,58,17,26,269,20avgm
90,27,171,67,82,79,16,38,58,56,42,96,47,77,62,60,20,22,275,20avgm
91,27,177,76,90,85,17,39,59,58,48,99,44,81,63,62,19,25,295,20avgm
92,25,178,69,82,76,17,35,59,57,44,96,43,84,62,57,22,23,270,20avgm
93,28,166,60,76,75,16,36,54,55,43,91,41,76,59,60,18,29,252,20avgm
94,27,169,70,84,82,17,37,56,61,49,97,43,76,60,60,22,28,279,20avgm
95,25,178,63,74,72,17,37,57,53,47,92,44,83,64,58,17,27,253,20avgm
96,29,175,69,83,79,17,35,57,59,43,98,44,77,66,60,21,23,275,20avgm
97,25,170,68,82,81,18,34,56,56,46,94,44,75,62,59,18,22,275,20avgm
98,27,171,58,76,72,16,33,57,52,41,90,42,80,59,57,17,25,248,20avgm
99,28,179,84,83,80,19,39,60,61,45,103,47,82,63,61,19,28,294,20avgm
100,26,166,62,81,77,16,36,56,56,43,92,41,76,58,61,16,23,261,20avgm
101,27,168,62,84,80,16,35,58,56,44,95,43,80,59,57,19,26,269,20btm
