age,height,weight,bellyCirc,waistCirc,wristCirc,neckCirc,ArmLength,ThighCirc,shoulderWidth,Hips,armfitCirc,inseam,bodyLength,headCirc,hipLength,bodyvalue
18,158,54,74,66,16,31,53,56,38,97,39,73,29,55,24,179
33,156,56,81,74,16,33,53,58,38,95,43,72,32,59,25,198
76,147,62,102,96,18,38,52,57,40,96,42,65,27,57,26,240
73,149,63,99,95,17,36,53,57,37,100,37,66,26,56,26,231
69,149,58,98,88,18,37,51,53,37,93,45,67,32,56,24,231
33,161,47,72,65,15,34,52,52,40,87,46,71,30,56,28,183
8,128,27,62,59,14,30,43,42,33,69,39,60,25,52,20,160
8,121,27,0,0,0,0,40,0,33,69,44,54,32,54,19,44
17,158,69,89,79,17,34,56,64,39,105,44,72,26,59,25,212
16,165,66,82,77,16,33,55,61,40,100,40,74,30,58,28,199
17,159,57,76,70,16,31,52,59,38,99,42,71,31,56,28,188
17,161,45,67,60,15,30,53,50,37,86,40,74,26,54,28,167
11,144,34,57,54,14,29,48,41,38,74,45,66,26,55,26,156
11,138,31,57,56,13,30,47,42,33,70,40,66,21,51,22,153
11,136,33,65,59,14,29,45,47,33,75,36,62,26,53,24,160
11,139,36,68,68,14,30,45,48,35,76,38,65,25,53,22,174
11,146,42,68,63,15,29,49,50,38,83,36,65,26,55,24,167
11,148,37,64,60,13,29,48,45,36,77,41,67,21,55,26,165
11,140,33,60,56,14,28,48,42,34,72,37,65,31,53,24,153
11,142,38,68,61,14,29,47,48,35,77,41,66,27,54,23,170
11,146,41,74,69,14,31,52,47,36,78,42,68,30,55,24,185
11,145,44,69,66,17,31,50,50,38,88,41,67,28,55,24,176
11,143,32,58,52,14,30,47,42,35,74,44,67,29,54,25,154
11,142,39,63,61,15,30,48,47,37,79,38,65,21,54,22,162
11,149,52,84,81,15,35,52,53,40,85,39,72,23,54,23,204
33,148,42,69,67,15,29,48,56,36,84,39,64,33,54,21,175
37,160,53,84,74,16,34,52,55,40,94,41,73,29,56,28,199
24,160,52,79,74,15,31,53,58,38,90,41,69,28,55,28,194
24,156,44,70,66,16,29,53,52,36,76,38,72,25,54,24,174
19,164,54,73,64,17,32,54,59,35,96,43,74,25,55,28,180
18,157,40,65,61,15,31,51,53,37,84,34,67,26,53,28,160
41,148,52,78,77,17,34,51,59,40,98,38,66,29,53,23,193
25,160,52,75,71,16,33,54,55,40,93,39,74,28,55,27,185
39,152,45,75,68,16,31,49,52,35,87,45,65,27,55,27,188
33,155,51,77,77,17,33,50,56,37,90,42,66,31,55,25,196
53,152,61,99,96,18,37,53,58,40,91,41,62,27,56,27,236
44,150,52,81,78,17,33,52,50,39,89,43,68,30,53,26,202
45,154,57,87,79,18,38,51,57,39,95,35,68,31,55,25,201
41,162,65,87,82,18,35,56,63,39,99,34,72,27,55,27,203
55,147,61,96,95,19,42,52,54,39,93,35,65,27,54,22,226
61,149,59,91,85,21,34,52,61,36,93,36,63,27,53,23,212
27,161,57,82,75,17,33,55,59,39,93,38,73,28,56,28,195
27,157,59,78,72,17,32,52,63,39,97,37,71,29,56,24,187
28,164,66,90,78,17,35,55,63,41,98,43,72,26,57,28,211
31,164,59,78,74,18,35,55,57,41,93,43,75,30,56,28,195
28,160,53,75,67,16,32,53,56,38,93,41,73,27,56,26,183
61,151,62,96,98,18,38,54,57,36,95,40,68,30,56,21,234
50,151,51,99,96,18,40,52,60,37,89,37,66,26,54,26,232
19,151,55,84,80,17,33,52,60,39,94,40,66,28,54,25,204
19,150,47,78,70,16,32,51,52,35,87,40,69,29,55,26,188
42,147,62,98,100,16,37,52,60,36,96,43,65,33,55,21,241
61,145,48,88,89,17,36,51,49,36,84,35,64,26,53,21,212
61,147,53,90,90,17,34,51,53,37,89,36,65,24,54,23,216
61,145,54,91,87,18,37,51,54,36,90,42,60,31,53,28,220
61,151,52,86,80,17,34,52,52,34,88,43,67,31,53,25,209
58,156,66,100,97,19,35,55,57,41,95,41,68,30,55,25,238
23,159,42,70,66,15,30,55,46,38,82,45,74,32,52,26,181
27,162,59,86,76,17,33,55,55,40,90,43,72,30,53,29,205
22,163,55,78,69,15,31,53,57,38,98,38,70,27,54,31,185
22,155,55,79,75,17,32,53,57,40,93,44,69,30,54,27,198
17,156,49,77,67,16,32,51,56,40,89,42,69,33,55,27,186
21,162,53,76,67,16,31,51,58,41,84,32,72,27,55,27,175
21,159,63,83,77,16,33,53,66,40,101,36,70,24,57,28,196
21,163,58,81,70,17,33,53,58,40,93,36,74,27,56,29,187
23,167,54,74,66,18,34,56,61,41,93,40,73,29,56,29,180
23,163,56,81,72,16,32,54,57,37,93,42,74,30,56,28,195
23,159,48,74,69,16,32,51,53,38,88,29,70,23,54,26,172
22,156,47,74,69,16,32,51,52,37,84,37,72,24,54,24,180
23,167,53,81,69,17,32,55,55,37,92,25,75,20,53,28,175
21,154,41,68,63,15,30,50,49,37,83,39,68,29,53,26,170
23,155,42,70,64,15,29,51,50,36,83,40,66,30,54,28,174
23,166,52,76,66,17,31,55,52,38,89,47,76,30,54,27,189
23,145,46,73,67,16,31,48,55,35,87,40,63,28,54,24,180
20,162,54,76,67,17,31,56,58,38,93,36,72,27,54,27,179
23,164,61,82,73,18,33,56,57,40,95,41,73,32,55,29,196
26,166,60,82,74,17,33,58,61,40,93,34,75,29,54,29,190
9,138,34,67,63,16,30,46,50,34,72,37,64,25,55,23,167
11,154,58,85,79,18,35,55,64,40,90,38,73,29,55,24,202
8,117,24,58,57,14,27,36,44,29,63,40,51,28,52,20,155
41,163,59,82,75,17,35,55,58,39,95,39,72,28,55,29,196
19,164,66,89,78,17,35,55,64,39,101,43,73,28,56,30,210
19,156,63,89,76,17,33,51,64,41,102,40,67,29,56,28,205
19,156,62,86,81,16,36,53,59,41,98,44,72,31,56,25,211
19,174,69,85,74,17,34,59,67,40,102,45,82,32,56,31,204
26,169,57,79,70,16,32,56,58,40,95,36,78,27,56,27,185
24,161,39,65,61,14,28,54,47,38,80,33,78,28,56,25,159
22,159,50,76,66,16,31,52,54,38,89,37,71,26,52,26,179
15,158,69,91,80,18,35,53,65,44,103,42,70,31,56,27,213
14,158,47,72,64,16,30,53,54,37,86,43,72,30,54,27,179
15,160,45,71,66,15,31,54,55,39,84,41,75,27,52,24,178
27,151,41,66,62,16,29,50,50,39,81,41,66,26,53,25,169
20,165,68,82,76,18,34,57,63,40,99,41,75,28,57,28,199
21,167,52,74,68,16,31,55,56,40,91,36,78,26,53,29,178
27,161,47,75,67,17,31,55,60,40,89,41,73,30,53,29,183
24,151,54,78,76,17,36,50,55,40,91,34,68,27,54,24,188
24,161,56,84,77,16,31,55,59,38,94,38,73,23,53,26,199
23,161,55,79,72,17,32,55,59,39,92,31,72,25,54,29,182
21,162,55,82,72,16,33,54,58,39,92,30,72,26,55,28,184
21,161,56,78,72,18,32,55,59,38,93,34,73,28,55,26,184
25,154,48,78,69,16,31,54,55,36,89,36,72,26,55,25,183
23,161,54,76,71,17,32,52,56,40,91,35,72,28,57,28,182
21,161,59,85,78,17,33,54,60,39,95,37,73,28,57,26,200
29,161,55,81,73,16,33,52,56,37,97,36,69,26,54,29,190
28,167,74,91,83,18,37,56,69,40,106,37,73,27,53,29,211
23,169,54,76,69,15,32,57,56,40,92,36,78,27,54,29,181
27,162,53,80,72,17,33,53,57,39,93,35,71,27,53,28,187
22,165,58,84,75,16,32,54,58,39,95,38,73,28,56,29,197
19,167,57,77,70,17,31,56,57,38,94,36,76,28,53,27,183
26,177,66,82,69,18,32,60,57,40,97,44,80,24,57,31,195
44,158,61,88,84,18,37,53,59,41,93,38,68,26,55,26,210
39,163,51,77,71,18,32,55,53,39,86,40,73,30,55,27,188
38,154,56,82,80,18,35,51,53,41,86,34,68,27,56,25,196
22,153,41,67,57,16,29,52,53,36,82,42,69,26,53,25,166
36,158,54,74,67,18,32,52,56,43,92,34,69,26,54,27,175
38,152,56,94,87,16,34,54,55,36,89,41,69,28,53,23,222
23,149,40,66,62,16,29,47,48,35,43,36,65,27,55,25,164
23,155,44,70,63,17,28,49,51,39,86,38,69,28,52,26,171
47,153,50,78,73,17,32,51,61,40,87,38,65,29,55,28,189
23,162,58,85,78,17,33,55,60,41,96,36,73,26,56,26,199
23,159,43,69,63,16,30,52,52,36,83,40,72,26,53,26,172
42,153,60,87,81,18,35,54,61,40,93,35,67,29,55,25,203
54,159,73,101,96,19,40,55,65,39,105,38,72,28,56,25,235
57,151,67,106,101,19,35,52,60,38,96,38,68,27,55,21,245
44,159,54,84,72,17,33,54,56,37,90,38,70,31,53,26,194
55,151,51,80,71,18,33,51,54,34,89,35,65,24,53,27,186
61,156,63,99,96,18,35,58,57,35,95,39,70,29,55,25,234
19,150,45,71,64,16,33,51,56,35,86,39,67,27,54,26,174
19,162,53,76,68,17,32,56,60,41,89,37,72,27,53,28,181
22,164,57,81,75,17,33,54,57,38,93,39,72,27,54,28,195
22,167,58,80,72,18,32,59,57,37,93,39,78,27,58,26,191
46,161,59,79,74,17,32,57,59,38,93,39,72,25,55,27,192
48,156,53,81,71,17,32,54,57,36,91,39,70,29,52,27,191
43,153,51,76,73,17,33,53,58,38,88,43,66,31,53,27,192
43,163,59,85,77,17,36,54,58,40,91,40,72,30,54,28,202
42,157,54,83,73,17,32,53,54,37,87,41,68,33,54,28,197
50,154,71,103,101,20,40,55,65,39,95,41,70,31,55,24,245
57,148,58,92,90,18,36,51,53,36,87,37,62,29,56,26,219
49,161,59,91,79,19,36,51,62,35,93,42,73,27,54,30,212
35,171,49,70,65,17,31,59,50,38,87,42,79,26,53,27,177
35,158,72,95,91,18,37,56,60,39,98,38,72,28,55,26,224
38,152,46,80,72,17,31,50,53,37,84,40,67,26,54,26,192
37,162,60,92,82,18,34,56,57,42,93,42,74,27,54,25,216
53,149,53,86,84,17,35,54,58,35,89,35,68,27,54,25,205
50,159,60,89,85,18,38,55,58,38,89,34,72,26,53,27,208
52,0,0,0,0,0,0,0,0,0,0,42,0,32,55,0,42
52,152,67,99,96,18,40,51,60,38,98,41,63,29,57,30,236
21,159,49,74,66,17,31,52,55,37,90,42,72,31,53,27,182
21,159,45,71,64,17,31,54,50,36,85,45,72,29,54,26,180
35,158,67,98,92,18,37,54,61,37,97,42,68,29,56,28,232
37,165,55,82,74,18,33,56,55,36,91,38,75,26,53,27,194
